District_Code,District_Name,Total_Voters
70,ABIM,36539
40,ADJUMANI,79364
111,AGAGO,98354
88,ALEBTONG,115804
57,AMOLATAR,71173
81,AMUDAT,43647
58,AMURIA,88722
71,AMURU,87122
1,APAC,88834
2,ARUA,65738
136,ARUA CITY,170066
72,BUDAKA,100900
78,BUDUDA,73039
41,BUGIRI,193053
123,BUGWERI,84953
109,BUHWEJU,66649
82,BUIKWE,235640
79,BUKEDEA,99828
98,BUKOMANSIMBI,76557
59,BUKWO,44126
89,BULAMBULI,71664
73,BULIISA,44869
3,BUNDIBUGYO,113472
117,BUNYANGABU,92440
4,BUSHENYI,140415
42,BUSIA,163571
60,BUTALEJA,110737
99,BUTAMBALA,55813
118,BUTEBO,51443
90,BUVUMA,42415
83,BUYENDE,138849
74,DOKOLO,93712
139,FORT PORTAL CITY,65163
91,GOMBA,81314
5,GULU,45342
137,GULU CITY,103401
6,HOIMA,90617
145,HOIMA CITY,62018
61,IBANDA,140486
7,IGANGA,186519
62,ISINGIRO,233099
8,JINJA,120278
138,JINJA CITY,154750
63,KAABONG,41211
9,KABALE,136559
10,KABAROLE,107428
54,KABERAMAIDO,52210
113,KAGADI,175680
114,KAKUMIRO,140691
129,KALAKI,53973
11,KALANGALA,35465
64,KALIRO,109466
100,KALUNGU,88687
12,KAMPALA,1280409
13,KAMULI,236917
46,KAMWENGE,117466
55,KANUNGU,146064
14,KAPCHORWA,56051
124,KAPELEBYONG,39629
130,KARENGA,18035
15,KASESE,384058
125,KASSANDA,134798
43,KATAKWI,83162
47,KAYUNGA,190977
131,KAZO,92843
16,KIBAALE,68857
17,KIBOGA,81434
102,KIBUKU,91971
126,KIKUUBE,112825
65,KIRUHURA,81891
92,KIRYANDONGO,125685
18,KISORO,158552
132,KITAGWENDA,76037
19,KITGUM,99234
66,KOBOKO,92845
103,KOLE,119437
20,KOTIDO,61086
21,KUMI,119112
127,KWANIA,87587
104,KWEEN,47080
93,KYANKWANZI,108311
84,KYEGEGWA,138528
48,KYENJOJO,215012
119,KYOTERA,124872
85,LAMWO,65223
22,LIRA,103180
144,LIRA CITY,111772
94,LUUKA,116094
23,LUWEERO,257115
105,LWENGO,139772
80,LYANTONDE,51076
133,MADI-OKOLLO,63404
67,MANAFWA,79924
77,MARACHA,101182
24,MASAKA,55626
141,MASAKA CITY,122339
25,MASINDI,154805
49,MAYUGE,231116
26,MBALE,108400
142,MBALE CITY,147774
27,MBARARA,84209
140,MBARARA CITY,114511
106,MITOOMA,111839
68,MITYANA,176029
28,MOROTO,38004
29,MOYO,45367
30,MPIGI,135726
31,MUBENDE,196565
32,MUKONO,355275
128,NABILATUK,21367
56,NAKAPIRIPIRIT,32661
69,NAKASEKE,107133
44,NAKASONGOLA,89647
95,NAMAYINGO,107234
120,NAMISINDWA,97191
75,NAMUTUMBA,121149
107,NAPAK,56678
33,NEBBI,130508
108,NGORA,72976
96,NTOROKO,38098
34,NTUNGAMO,268541
110,NWOYA,57186
134,OBONGI,19321
115,OMORO,72216
86,OTUKE,48541
76,OYAM,184088
50,PADER,82298
121,PAKWACH,78801
35,PALLISA,131370
36,RAKAI,135169
116,RUBANDA,111615
112,RUBIRIZI,73848
122,RUKIGA,60965
37,RUKUNGIRI,185118
135,RWAMPARA,70346
97,SERERE,130290
101,SHEEMA,129151
51,SIRONKO,132465
38,SOROTI,92720
146,SOROTI CITY,56019
45,SSEMBABULE,132240
143,TEREGO,95118
39,TORORO,268434
52,WAKISO,1154857
53,YUMBE,113855
87,ZOMBO,123432
